	0
dokujo-tsushin	dokujo-tsushin-6453989.txt
dokujo-tsushin	dokujo-tsushin-6454555.txt
dokujo-tsushin	dokujo-tsushin-6455380.txt
dokujo-tsushin	dokujo-tsushin-6480118.txt
dokujo-tsushin	dokujo-tsushin-6494931.txt
dokujo-tsushin	dokujo-tsushin-6514148.txt
dokujo-tsushin	dokujo-tsushin-6523283.txt
dokujo-tsushin	dokujo-tsushin-6524058.txt
dokujo-tsushin	dokujo-tsushin-6528405.txt
dokujo-tsushin	dokujo-tsushin-6535343.txt
dokujo-tsushin	dokujo-tsushin-6551874.txt
dokujo-tsushin	dokujo-tsushin-6568468.txt
dokujo-tsushin	dokujo-tsushin-6569466.txt
dokujo-tsushin	dokujo-tsushin-6613586.txt
dokujo-tsushin	dokujo-tsushin-6631848.txt
dokujo-tsushin	dokujo-tsushin-6649357.txt
dokujo-tsushin	dokujo-tsushin-6665918.txt
dokujo-tsushin	dokujo-tsushin-6687261.txt
dokujo-tsushin	dokujo-tsushin-6698715.txt
dokujo-tsushin	dokujo-tsushin-6048111.txt
dokujo-tsushin	dokujo-tsushin-6063713.txt
dokujo-tsushin	dokujo-tsushin-6071240.txt
dokujo-tsushin	dokujo-tsushin-6075716.txt
dokujo-tsushin	dokujo-tsushin-6079599.txt
dokujo-tsushin	dokujo-tsushin-6092959.txt
dokujo-tsushin	dokujo-tsushin-6117138.txt
dokujo-tsushin	dokujo-tsushin-6120453.txt
dokujo-tsushin	dokujo-tsushin-6130430.txt
dokujo-tsushin	dokujo-tsushin-6132862.txt
dokujo-tsushin	dokujo-tsushin-6148585.txt
dokujo-tsushin	dokujo-tsushin-6152845.txt
dokujo-tsushin	dokujo-tsushin-6157485.txt
dokujo-tsushin	dokujo-tsushin-6184841.txt
dokujo-tsushin	dokujo-tsushin-6189748.txt
dokujo-tsushin	dokujo-tsushin-6214688.txt
dokujo-tsushin	dokujo-tsushin-6215814.txt
dokujo-tsushin	dokujo-tsushin-6218046.txt
dokujo-tsushin	dokujo-tsushin-4905596.txt
dokujo-tsushin	dokujo-tsushin-4916133.txt
dokujo-tsushin	dokujo-tsushin-4934903.txt
dokujo-tsushin	dokujo-tsushin-4976420.txt
dokujo-tsushin	dokujo-tsushin-4990861.txt
dokujo-tsushin	dokujo-tsushin-4990884.txt
dokujo-tsushin	dokujo-tsushin-4996071.txt
dokujo-tsushin	dokujo-tsushin-5005793.txt
dokujo-tsushin	dokujo-tsushin-5005857.txt
dokujo-tsushin	dokujo-tsushin-5022310.txt
dokujo-tsushin	dokujo-tsushin-5032727.txt
dokujo-tsushin	dokujo-tsushin-5050236.txt
dokujo-tsushin	dokujo-tsushin-5069354.txt
dokujo-tsushin	dokujo-tsushin-5079275.txt
dokujo-tsushin	dokujo-tsushin-5099979.txt
dokujo-tsushin	dokujo-tsushin-5109997.txt
dokujo-tsushin	dokujo-tsushin-5361959.txt
dokujo-tsushin	dokujo-tsushin-5366027.txt
dokujo-tsushin	dokujo-tsushin-5382580.txt
dokujo-tsushin	dokujo-tsushin-5385396.txt
dokujo-tsushin	dokujo-tsushin-5389210.txt
dokujo-tsushin	dokujo-tsushin-5437976.txt
dokujo-tsushin	dokujo-tsushin-5439765.txt
dokujo-tsushin	dokujo-tsushin-5448976.txt
dokujo-tsushin	dokujo-tsushin-5476676.txt
dokujo-tsushin	dokujo-tsushin-5492401.txt
dokujo-tsushin	dokujo-tsushin-5517825.txt
dokujo-tsushin	dokujo-tsushin-5534793.txt
dokujo-tsushin	dokujo-tsushin-5539799.txt
dokujo-tsushin	dokujo-tsushin-5560837.txt
dokujo-tsushin	dokujo-tsushin-5569337.txt
dokujo-tsushin	dokujo-tsushin-5127080.txt
dokujo-tsushin	dokujo-tsushin-5129774.txt
dokujo-tsushin	dokujo-tsushin-5132619.txt
dokujo-tsushin	dokujo-tsushin-5142196.txt
dokujo-tsushin	dokujo-tsushin-5159678.txt
dokujo-tsushin	dokujo-tsushin-5180407.txt
dokujo-tsushin	dokujo-tsushin-5196844.txt
dokujo-tsushin	dokujo-tsushin-5207316.txt
dokujo-tsushin	dokujo-tsushin-5223255.txt
dokujo-tsushin	dokujo-tsushin-5249283.txt
dokujo-tsushin	dokujo-tsushin-5263801.txt
dokujo-tsushin	dokujo-tsushin-5271492.txt
dokujo-tsushin	dokujo-tsushin-5316747.txt
dokujo-tsushin	dokujo-tsushin-5595521.txt
dokujo-tsushin	dokujo-tsushin-5604583.txt
dokujo-tsushin	dokujo-tsushin-5656207.txt
dokujo-tsushin	dokujo-tsushin-5659126.txt
dokujo-tsushin	dokujo-tsushin-5676280.txt
dokujo-tsushin	dokujo-tsushin-5694159.txt
dokujo-tsushin	dokujo-tsushin-5702505.txt
dokujo-tsushin	dokujo-tsushin-5718368.txt
dokujo-tsushin	dokujo-tsushin-5721404.txt
dokujo-tsushin	dokujo-tsushin-5735834.txt
dokujo-tsushin	dokujo-tsushin-5753985.txt
dokujo-tsushin	dokujo-tsushin-5762540.txt
dokujo-tsushin	dokujo-tsushin-5780523.txt
dokujo-tsushin	dokujo-tsushin-6738994.txt
dokujo-tsushin	dokujo-tsushin-6763585.txt
dokujo-tsushin	dokujo-tsushin-6764808.txt
dokujo-tsushin	dokujo-tsushin-6782676.txt
dokujo-tsushin	dokujo-tsushin-6797502.txt
dokujo-tsushin	dokujo-tsushin-6805001.txt
dokujo-tsushin	dokujo-tsushin-6812547.txt
dokujo-tsushin	dokujo-tsushin-6831866.txt
dokujo-tsushin	dokujo-tsushin-6865838.txt
